HW,CIN,COUT,KERNEL_SIZE,STRIDES,LATENCY,model_path
56,499,499,3,1,1.15595,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/maxpool/maxpool_prior_29NRXH.tflite
112,38,38,2,1,0.385382,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/maxpool/maxpool_prior_AN10YM.tflite
14,465,465,2,2,0.0171625,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/maxpool/maxpool_prior_E1FDWQ.tflite
28,497,497,2,2,0.0754612,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/maxpool/maxpool_prior_X31MS3.tflite
112,236,236,2,2,0.639051,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/maxpool/maxpool_prior_S656QZ.tflite
112,71,71,2,2,0.192864,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/maxpool/maxpool_prior_2VWR42.tflite
56,68,68,3,2,0.042889699999999996,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/maxpool/maxpool_prior_44F8XZ.tflite
14,498,498,3,2,0.019535499999999997,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/maxpool/maxpool_prior_K0ETBU.tflite
28,65,65,3,2,0.0113453,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/maxpool/maxpool_prior_UEZXSL.tflite
56,55,55,2,2,0.0375959,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/maxpool/maxpool_prior_PKTG9D.tflite
28,490,490,2,2,0.0734314,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/maxpool/maxpool_prior_OE0M2B.tflite
56,836,836,3,1,1.89876,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/maxpool/maxpool_prior_ZMVM7U.tflite
112,26,26,2,2,0.080713,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/maxpool/maxpool_prior_DDCXZU.tflite
14,238,238,2,2,0.00914344,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/maxpool/maxpool_prior_KKHWKB.tflite
14,504,504,2,1,0.0627246,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/maxpool/maxpool_prior_86WFZ2.tflite
28,361,361,2,2,0.056456400000000004,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/maxpool/maxpool_prior_WDJ242.tflite
14,494,494,3,1,0.069091,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/maxpool/maxpool_prior_2LW1V9.tflite
14,98,98,3,2,0.00384777,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/maxpool/maxpool_prior_63YMG1.tflite
112,528,528,2,2,1.6348099999999999,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/maxpool/maxpool_prior_JCLM1X.tflite
28,493,493,2,2,0.0743476,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/maxpool/maxpool_prior_9YDDKT.tflite
14,244,244,3,2,0.00791746,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/maxpool/maxpool_prior_ODLGXL.tflite
112,62,62,2,2,0.16130799999999998,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/maxpool/maxpool_prior_TCZ1EW.tflite
14,148,148,2,2,0.00508765,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/maxpool/maxpool_prior_M5KKZ3.tflite
112,489,489,3,2,1.9721,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/maxpool/maxpool_prior_VCLL0J.tflite
28,197,197,3,1,0.114993,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/maxpool/maxpool_prior_6ZGZHP.tflite
56,194,194,3,2,0.128947,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/maxpool/maxpool_prior_G1TS8G.tflite
14,368,368,2,2,0.012579,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/maxpool/maxpool_prior_W74P8S.tflite
14,239,239,2,2,0.009080669999999999,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/maxpool/maxpool_prior_AKYOG6.tflite
56,477,477,3,2,0.33452800000000005,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/maxpool/maxpool_prior_4GZNSW.tflite
14,254,254,2,2,0.00882332,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/maxpool/maxpool_prior_EM97BE.tflite
14,503,503,3,1,0.0687813,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/maxpool/maxpool_prior_ZCB1VL.tflite
56,240,240,3,2,0.149119,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/maxpool/maxpool_prior_DWU4KB.tflite
14,515,515,2,2,0.0184534,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/maxpool/maxpool_prior_NISMPP.tflite
28,133,133,2,2,0.0220733,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/maxpool/maxpool_prior_Y809BI.tflite
112,56,56,3,2,0.15272,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/maxpool/maxpool_prior_AHBDLH.tflite
112,128,128,2,2,0.34908100000000003,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/maxpool/maxpool_prior_YEA1L0.tflite
56,58,58,2,1,0.14650899999999997,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/maxpool/maxpool_prior_D9KDY3.tflite
56,505,505,3,2,0.380679,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/maxpool/maxpool_prior_3VLCZ3.tflite
14,50,50,3,2,0.0023505099999999997,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/maxpool/maxpool_prior_5XEIQQ.tflite
224,380,380,2,2,5.43551,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/maxpool/maxpool_prior_LF3AJR.tflite
56,245,245,3,1,0.6121169999999999,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/maxpool/maxpool_prior_F7TJG8.tflite
