HW,CIN,COUT,KERNEL_SIZE,STRIDES,LATENCY,model_path
112,499,499,3,2,1.8639100000000002,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_NSWEM9.tflite
112,38,38,2,2,0.105945,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_7BEZCB.tflite
28,465,465,3,1,0.297274,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_1VLDWU.tflite
112,497,497,2,2,1.5648499999999999,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_4KBNIS.tflite
28,236,236,3,2,0.0390289,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_MPPY80.tflite
14,71,71,2,1,0.0122437,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_9BIAHB.tflite
112,68,68,3,2,0.236568,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_DLHYEA.tflite
112,498,498,2,1,4.53422,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_1L0D9K.tflite
56,65,65,2,1,0.160945,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_DY33VL.tflite
56,55,55,2,2,0.0360064,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_CZ35XE.tflite
14,490,490,2,1,0.0679227,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_IQQLF3.tflite
112,836,836,3,1,7.51471,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_AJRF7T.tflite
224,26,26,2,2,0.331837,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_JG8HSV.tflite
28,238,238,3,1,0.138972,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_AQ716J.tflite
112,504,504,3,2,1.96102,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_DDDN8A.tflite
28,361,361,2,2,0.058983400000000005,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_NJT0JB.tflite
14,494,494,3,2,0.020631399999999998,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_X7H4T3.tflite
14,98,98,3,2,0.00419747,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_3LJBZJ.tflite
14,528,528,3,2,0.0204956,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_2LV64J.tflite
14,493,493,3,1,0.0735067,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_C5YK4R.tflite
14,244,244,3,2,0.00883133,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_N57W9Y.tflite
112,62,62,3,2,0.193346,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_JUUID3.tflite
28,148,148,3,2,0.022912400000000003,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_DV77DY.tflite
14,489,489,2,2,0.018509599999999998,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_FCICAX.tflite
112,197,197,3,2,0.7408250000000001,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_1O4FGE.tflite
28,194,194,2,2,0.0315664,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_X31TLI.tflite
14,368,368,3,2,0.015697100000000002,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_Z88MPJ.tflite
112,239,239,3,2,0.8878830000000001,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_YN65YM.tflite
14,477,477,2,2,0.0179921,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_E8J8IE.tflite
112,254,254,3,1,2.5158,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_Z3FNA3.tflite
28,503,503,3,2,0.0846117,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_LKXYNP.tflite
112,240,240,2,2,0.697944,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_VTQJD5.tflite
112,515,515,2,2,1.78999,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_0WVAUS.tflite
56,133,133,2,2,0.096361,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_6D0S3K.tflite
56,56,56,2,2,0.0401485,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_H01FH3.tflite
14,128,128,3,2,0.00573178,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_KEY8FA.tflite
28,58,58,2,2,0.0101545,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_79Q4F0.tflite
28,505,505,3,1,0.32878500000000005,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_H04OZB.tflite
56,50,50,2,2,0.0352735,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_2350T9.tflite
112,380,380,3,2,1.37021,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_J2KO45.tflite
28,245,245,3,2,0.041859,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_3ZT92B.tflite
28,504,504,3,2,0.08163,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_68X3TL.tflite
112,68,68,2,1,0.70611,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_POXK7B.tflite
28,508,508,3,2,0.0859349,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_8CDK0T.tflite
14,142,142,2,2,0.00582534,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_KMBK3U.tflite
112,497,497,3,2,2.05917,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_C6PCBJ.tflite
56,101,101,3,2,0.0745728,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_53WB0W.tflite
14,511,511,3,2,0.0209889,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_QBJQCJ.tflite
224,135,135,3,2,1.9875399999999999,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_PH64SW.tflite
