HW,CIN,COUT,KERNEL_SIZE,STRIDES,FLOPS,PARAMS,LATENCY,model_path
13,4,4,1,1,0.00338,2e-05,0.000664986,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_R9JIIB.tflite
3,144,4,1,1,0.00522,0.00058,0.00081298,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_WPCAJF.tflite
3,4,200,1,1,0.009,0.001,0.000979223,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_ZG2LC5.tflite
8,6,27,1,1,0.012096,0.000189,0.00111724,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_CGD8KP.tflite
8,201,6,1,2,0.019392,0.001212,0.0016869799999999998,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_YVE80H.tflite
8,10,172,1,2,0.030272,0.001892,0.0022011400000000003,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_4Y6W36.tflite
8,3,28,3,1,0.050176,0.000784,0.00355654,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_1V5VV9.tflite
14,8,114,1,2,0.050274,0.001026,0.00375903,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_8ENISI.tflite
7,27,42,1,1,0.057624,0.001176,0.0039510299999999995,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_ETUE1I.tflite
14,7,40,1,1,0.06272,0.00032,0.004148710000000001,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_3Y679E.tflite
1,81,33,5,1,0.066858,0.066858,0.00840774,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_5PK8DK.tflite
14,6,50,1,1,0.0686,0.00035,0.005262190000000001,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_0ZZQJ2.tflite
8,33,32,1,1,0.069632,0.001088,0.00385251,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_20DZCY.tflite
3,42,4,7,1,0.074124,0.008236,0.00974502,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_FBZ19F.tflite
8,158,9,1,1,0.091584,0.001431,0.008463559999999998,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_ZBY6K2.tflite
14,36,13,1,1,0.094276,0.000481,0.00631027,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_U2H4BZ.tflite
13,21,102,1,2,0.094809,0.002244,0.00687401,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_4733CP.tflite
7,145,17,1,1,0.121618,0.002482,0.00957611,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_F2IM42.tflite
14,17,193,1,2,0.170226,0.003474,0.0110224,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_TT5R5T.tflite
8,204,13,1,1,0.17056,0.002665,0.0108305,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_RD0UET.tflite
27,10,31,1,1,0.248589,0.000341,0.0161495,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_H2HPWO.tflite
7,34,145,1,1,0.248675,0.005075,0.0150853,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_E993GU.tflite
8,91,43,1,1,0.253184,0.003956,0.014699,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_6SI9RE.tflite
13,30,49,1,1,0.256711,0.001519,0.016209599999999998,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_WT70NT.tflite
8,207,78,1,2,0.259584,0.016224,0.014940799999999999,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_17NZBA.tflite
1,126,43,7,1,0.265525,0.265525,0.0295971,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_VR6CF6.tflite
13,8,180,1,1,0.27378,0.00162,0.0179533,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_0ZBCDF.tflite
8,673,7,1,1,0.301952,0.004718,0.0179126,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_V8R488.tflite
13,66,27,1,1,0.305721,0.001809,0.0189862,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_R0ZH88.tflite
56,10,9,1,1,0.310464,9.9e-05,0.033306800000000004,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_IKKIYG.tflite
1,734,47,3,1,0.310529,0.310529,0.03174,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_UTFYOX.tflite
3,75,495,1,1,0.33858,0.03762,0.022752400000000002,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_EPH76X.tflite
1,849,16,5,1,0.339616,0.339616,0.0338575,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_65A5PP.tflite
7,161,46,1,1,0.365148,0.007452,0.0208421,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_WOY6M7.tflite
8,108,6,3,1,0.373632,0.005838,0.0251374,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_3D843Q.tflite
56,4,27,1,1,0.42336,0.000135,0.0379925,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_G7SY14.tflite
8,140,47,1,1,0.424128,0.006627,0.0222224,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_21BPRL.tflite
8,519,54,1,2,0.44928,0.02808,0.025941199999999998,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_P1H072.tflite
1,42,239,7,1,0.492101,0.492101,0.049359900000000005,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_W2DTHZ.tflite
