CIN,COUT,FLOPS,PARAMS,LATENCY,model_path
525,1000,0.5255,1.051,0.0523999,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_C14AN3.tflite
583,1000,0.5835,1.167,0.057774500000000006,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_5RKC75.tflite
599,1000,0.5995,1.199,0.0591697,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_EPXC0I.tflite
647,1000,0.6475,1.295,0.06525109999999999,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_WY0SQ3.tflite
649,1000,0.6495,1.299,0.06443779999999999,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_TXI3P2.tflite
660,1000,0.6605,1.321,0.06824960000000001,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_YCAPIM.tflite
673,1000,0.6735,1.347,0.0729619,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_T8XPU9.tflite
733,1000,0.7335,1.467,0.07279640000000001,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_14EU6K.tflite
785,1000,0.7855,1.571,0.0782374,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_O0PCC5.tflite
815,1000,0.8155,1.631,0.09009650000000001,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_E8FJYX.tflite
823,1000,0.8235,1.647,0.0898761,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_JHG2KM.tflite
833,1000,0.8335,1.667,0.0873523,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_102PRJ.tflite
904,1000,0.9045,1.809,0.09988939999999999,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_7LHR3T.tflite
1001,1000,1.0015,2.003,0.10859300000000001,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_LL4WU1.tflite
1032,1000,1.0325,2.065,0.11600400000000001,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_A8CVUP.tflite
1079,1000,1.0795,2.159,0.120129,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_Q2ZKY5.tflite
1093,1000,1.0935,2.187,0.12053,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_P7R745.tflite
1294,1000,1.2945,2.589,0.14190799999999998,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_K53ZI0.tflite
1301,1000,1.3015,2.603,0.141102,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_W8Y5K9.tflite
1524,1000,1.5245,3.049,0.167005,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_G0CA28.tflite
1672,1000,1.6725,3.345,0.19161799999999998,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_DWFJG3.tflite
1744,1000,1.7445,3.489,0.20220500000000002,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_5I3162.tflite
1775,1000,1.7755,3.551,0.20366399999999998,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_Q31V77.tflite
